site,grid,fac,area,s_area,surf_complex,max_height,min_height,height_diff,mean_slope,sd_slope,mean_slope2,sd_slope2,mean_vrm,sd_vrm,mean_curv,sd_curv,max_curv,min_curv,mean_pro_curv,sd_pro_curv,max_pro_curv,min_pro_curv,mean_plan_curv,sd_plan_curv,max_plan_curv,min_plan_curv,d32,,
CC,7,8,18.8416,43.36510834,2.301561881,-7.017097577,-10.1487058,3.131608218,42.33651278,0.372506387,1.571648819,1.931164798,0.098951138,0.097408075,-0.568547077,63.85424515,583.7696034,-567.274678,0.512972889,282.8256547,-304.1917443,39.82125343,-0.103315736,31.69474192,-292.7990594,388.7575541,2.352375942,,
CC,7,16,18.8416,34.2586541,1.818245483,-7.023032229,-10.04998485,3.026952617,38.56235417,0.353345196,1.173479919,1.156777621,0.088256974,0.081331533,-0.197192138,18.98615308,115.7368661,-100.7256166,0.127210015,56.12955019,-48.52165019,11.85511876,-0.133152188,9.771520947,-53.23440491,90.4584192,2.352375942,,
CC,7,32,18.8416,28.43196792,1.508999656,-7.072997919,-9.903352418,2.830354499,34.37560836,0.30890876,0.91021639,0.708377129,0.088516289,0.057048219,0.005584457,6.498196752,30.26667106,-19.04219581,-0.0108491,12.01197045,-15.64429015,4.093986005,-0.014751418,3.024523809,-10.51402994,14.62238091,2.352375942,,
CC,8,1,19.6608,100.9012124,5.132101053,-6.956003666,-10.57641602,3.62041235,49.84884322,0.420711916,4.054791139,9.24338077,0.101820493,0.14556637,-0.048758212,2047.696683,54631.66237,-43752.52724,5.062501037,25215.94964,-25082.04976,1310.758506,5.013710166,1042.10782,-28418.21855,29549.61261,2.356082865,,
CC,8,2,19.6608,79.22986749,4.029839452,-7.004249692,-10.57167721,3.567427516,49.61599577,0.407447965,3.062812325,5.446633765,0.119505511,0.141321996,0.278735857,662.6040073,12362.47778,-10784.80899,-0.634668158,5982.068442,-5799.76299,421.2145263,-0.356389016,331.3703063,-6574.371246,7553.890814,2.356082865,,
CC,8,4,19.6608,60.96656352,3.100919775,-7.023875892,-10.55927819,3.535402298,47.88810995,0.388906332,2.258238035,3.109436827,0.126467467,0.126628515,0.052919653,203.4207266,3291.689251,-2274.459079,-0.908497432,1327.327164,-1554.714707,125.4066268,-0.856918296,105.6134082,-1586.200689,1736.974543,2.356082865,,
CC,8,8,19.6608,46.60664124,2.370536359,-7.061464071,-10.4965968,3.435132727,44.65377025,0.363618204,1.639580215,1.763153983,0.109514782,0.099391961,-0.204332084,60.15836632,424.9164218,-389.6047408,-0.137571368,287.1778812,-258.9708095,37.26288013,-0.342727367,30.85271535,-308.7925291,220.7750517,2.356082865,,
CC,8,16,19.6608,36.45265322,1.854077821,-7.102302911,-10.42862739,3.32632448,41.27042007,0.324821243,1.216364737,1.022783245,0.083437685,0.068324618,-0.041615381,17.70265422,100.2415968,-88.7016864,0.182174227,63.26291709,-50.95248025,11.26886106,0.138234299,8.981406688,-64.67067076,56.13254595,2.356082865,,
CC,8,32,19.6608,30.14252812,1.533128261,-7.145010946,-10.28882138,3.143810431,37.60356882,0.260995084,0.951375756,0.586830142,0.076450422,0.055909508,-0.009364217,5.191177643,18.22040914,-13.29537597,0.049384913,10.65646518,-12.18432855,3.582778482,0.081875339,2.560048896,-8.513444719,7.134766109,2.356082865,,
CC,9,1,20.0704,158.982245,7.92122952,-6.046546936,-11.04211807,4.995571136,53.9693448,0.431875638,6.24633296,13.19307325,0.142454449,0.174983583,-0.599608451,3067.837567,50970.66879,-43384.31358,42.60244482,27400.5586,-26817.75112,1964.761982,42.00053616,1560.47083,-26534.49399,26876.58121,2.45180004,,
CC,9,2,20.0704,115.6439834,5.761917222,-6.621691346,-11.0250082,4.403316855,53.41793122,0.417226402,4.374130236,7.587256507,0.159563287,0.170218106,-0.604833836,964.3201041,10427.44547,-11234.45272,11.94278789,7134.089613,-5810.086804,606.5659469,11.3522106,488.857232,-6680.175508,6013.265705,2.45180004,,
CC,9,4,20.0704,81.82547412,4.076922937,-6.935159743,-10.99821919,4.063059449,50.98522247,0.398752387,2.999412793,4.273573811,0.154659201,0.149630172,-0.811162988,284.0468282,2259.024009,-2479.534075,2.772403236,1476.616427,-1216.66796,177.1316079,1.995274518,143.8181077,-1357.538422,1329.911554,2.45180004,,
CC,9,8,20.0704,58.14085521,2.896845863,-6.988503091,-10.98123696,3.992733873,47.0293566,0.381459216,2.056340877,2.432399056,0.125697692,0.131937317,-0.208183071,83.22914613,616.3497223,-554.6856765,-0.214484343,322.2817691,-407.0979109,52.30254138,-0.43349224,42.73741498,-308.4163739,396.9327983,2.45180004,,
CC,9,16,20.0704,43.15251364,2.15005748,-7.155635223,-10.92484648,3.769211259,43.69890061,0.350319488,1.476431082,1.354915579,0.104166229,0.107788651,0.153039349,25.56462661,106.68225,-128.6634052,-0.387535294,89.14612319,-80.3278025,16.36788164,-0.377139136,12.80416421,-77.57542062,93.70104017,2.45180004,,
CC,9,32,20.0704,34.34493245,1.711223117,-7.237189399,-10.81711671,3.579927307,41.4889243,0.304401844,1.154260976,0.787184742,0.09964669,0.066313971,0.22160364,7.356121184,21.45830108,-22.86606406,-0.546903166,17.58446572,-13.65998964,5.311848477,-0.254291382,3.103585126,-14.24118444,8.299489738,2.45180004,,
CC,10,1,20.48,63.6184057,3.106367466,-7.018445969,-11.17983532,4.161389351,41.77408819,0.389708443,2.24763332,5.696564834,0.069978886,0.117141831,-0.610428864,1285.731869,29051.75209,-28184.43298,7.504247666,19109.49364,-24741.35726,816.4262227,6.99116048,659.2146807,-16191.24576,19004.42915,2.274489676,,
CC,10,2,20.48,50.75509022,2.47827589,-7.202964664,-11.17874122,3.975776553,40.83866016,0.371683993,1.685772092,3.175418295,0.079904496,0.112736808,-0.415608876,405.5482576,9613.499641,-8241.44423,1.660676417,4301.703026,-4234.027596,248.9723828,1.187045651,209.3940513,-5328.427674,5379.472045,2.274489676,,
CC,10,4,20.48,40.37687282,1.971526993,-7.258493841,-11.17184788,3.913354039,38.39031097,0.339622176,1.235843837,1.651141584,0.077415962,0.088818408,0.130716592,119.8188535,2065.391727,-1512.72703,0.257050008,1163.850597,-1124.059218,71.01441341,0.329501352,61.85964385,-883.4961608,1136.411555,2.274489676,,
CC,10,8,20.48,32.64955651,1.594216627,-7.342339352,-10.56776835,3.225428998,34.36396806,0.300470356,0.910042225,0.847993429,0.058292615,0.055837267,-0.026025002,30.55849547,498.6392078,-271.3396971,0.051805009,159.8875907,-248.5395747,18.06103704,-0.011981021,15.76271498,-157.7384316,250.0996331,2.274489676,,
CC,10,16,20.48,27.73854692,1.354421236,-7.412685946,-10.26987076,2.857184816,30.45337223,0.263497735,0.709369546,0.544216923,0.042832974,0.040749896,-0.192733506,8.457895579,38.98887211,-38.91115783,0.139012712,22.72180675,-29.86511105,5.23998978,-0.023442841,4.242174352,-23.15052051,23.55888981,2.274489676,,
CC,10,32,20.48,25.18048064,1.229515656,-7.53458006,-10.17656576,2.641985702,27.13323986,0.205124044,0.580426525,0.361797208,0.0315216,0.020101074,-0.142674972,2.918778245,11.71758126,-11.06215869,0.134593856,4.452112242,-6.104527087,1.738257437,-0.012314309,1.54474137,-7.231132318,5.613054169,2.274489676,,
CC,11,1,24.9856,205.5384656,8.226276958,11.21290493,7.19461441,4.01829052,50.95094577,0.4660473,6.455155356,12.79981456,0.140963948,0.18112314,0.105737811,2936.466196,57272.54868,-52854.33292,50.36170524,30080.14125,-30992.44005,1885.525321,50.46673596,1491.877317,-31773.62337,36930.71732,2.479600174,,
CC,11,2,24.9856,149.2719524,5.974319303,11.15668344,7.1978333,3.958850145,51.14277989,0.458939512,4.523942439,7.421976314,0.159388253,0.174445866,-0.356537162,942.8756684,13611.55748,-12024.17731,10.95069712,6327.617009,-6873.141851,596.4381208,10.60680485,471.9424212,-8131.89277,7027.881514,2.479600174,,
CC,11,4,24.9856,106.3559443,4.256689627,11.13665265,7.20006758,3.936585069,50.21352736,0.445055543,3.150757314,4.267706489,0.179236895,0.172672017,-0.331263284,281.4679218,2603.812832,-3511.051442,1.696731595,1539.255274,-1555.075514,178.2585664,1.379488704,140.8098699,-1971.796168,1240.900026,2.479600174,,
CC,11,8,24.9856,75.6430861,3.027467265,11.08581455,7.210874803,3.874939747,46.12529702,0.412050907,2.08695768,2.483094904,0.167638548,0.145850946,0.033878407,87.79609907,470.0043891,-674.2804032,-0.559491156,405.3212727,-342.0830685,54.80938518,-0.515019819,44.79305014,-437.9708187,248.012049,2.479600174,,
CC,11,16,24.9856,52.61167704,2.105679953,11.01300025,7.239937248,3.773063006,39.90787501,0.369197584,1.374729216,1.516439335,0.106456449,0.092528889,0.174458139,26.04250263,139.3394659,-173.7549386,-0.794270137,117.145599,-86.88634812,17.06523931,-0.581458507,12.56182137,-56.6093396,58.27310251,2.479600174,,
CC,11,32,24.9856,40.14310758,1.606649733,10.84540413,7.244374333,3.601029797,35.42044768,0.339981474,0.994398089,0.959945982,0.073009698,0.058983682,0.370489578,7.288770133,24.39713417,-36.51026093,-0.595381959,27.25464501,-22.50383017,5.272979699,-0.219193037,3.116316577,-13.55440341,10.95762538,2.479600174,,
CC,12,1,19.2512,150.6314745,7.824523898,11.95854664,7.174160004,4.784386635,52.32626488,0.474963154,6.040762083,11.32928721,0.157697383,0.191832511,-0.982181772,2736.556775,63813.56239,-53750.38147,36.80750571,37379.31452,-30702.46329,1701.041507,35.83607516,1421.20945,-33165.32829,40494.6445,2.474233698,,
CC,12,2,19.2512,105.4496041,5.477560055,11.88205433,7.177777529,4.7042768,51.06664638,0.46277323,4.006732158,6.265602633,0.167019282,0.186456854,-1.058857227,853.9211584,12766.54482,-12906.30639,10.03391459,7445.551243,-6620.824742,512.6131498,8.97942533,445.605931,-8214.807082,8030.669883,2.474233698,,
CC,12,4,19.2512,71.20054977,3.698499302,11.82326823,7.18241933,4.640848905,48.00189273,0.437033723,2.5919523,3.432978523,0.157413667,0.163689498,-0.876350132,242.630897,1872.554384,-4038.842097,1.047288485,2275.59635,-1285.761734,145.2038077,0.251979723,126.1843983,-1763.245747,1297.928037,2.474233698,,
CC,12,8,19.2512,49.07406742,2.549143296,11.71284726,7.192378297,4.520468965,42.86333509,0.407528796,1.697785924,1.953277135,0.108221639,0.110247892,-0.303822489,67.07103037,395.5496068,-544.110639,-0.313422608,275.3470815,-364.503906,39.97230682,-0.549548562,35.40559545,-329.6564134,275.3523547,2.474233698,,
CC,12,16,19.2512,36.26254013,1.883650896,11.57428353,7.211213551,4.363069978,39.22273801,0.38300875,1.25584824,1.270966352,0.05913907,0.05880763,-0.027252041,17.55680784,99.89604601,-107.7495637,-0.224806543,66.81667758,-61.94043217,10.66008393,-0.173364848,9.053684751,-63.69163093,63.38268893,2.474233698,,
CC,12,32,19.2512,30.83784696,1.601866219,11.4461982,7.22569874,4.220499462,38.72734113,0.355229658,1.084468145,0.908364698,0.030175765,0.025465136,-0.415671639,5.504985245,16.58084154,-21.92462706,0.029584553,9.498524287,-12.13245079,3.415795402,-0.334852437,2.836382814,-12.65238564,7.671713787,2.474233698,,
CC,13,1,17.2032,128.5463218,7.472233179,11.78922939,7.1162467,4.672982693,39.78557109,0.449060723,5.759605056,20.49754327,0.092703926,0.150120145,-0.361514086,4291.259982,96538.71536,-86047.48249,95.62993951,42118.02709,-48510.11904,2813.105287,95.26842543,2160.155238,-57473.33972,56293.3456,2.396010492,,
CC,13,2,17.2032,94.23206786,5.47758951,11.76356483,7.120389938,4.643174887,38.08507186,0.456017703,3.994228103,12.22337549,0.10113707,0.150202952,-0.065655675,1399.067687,27894.43076,-18295.26693,26.87006977,9634.994781,-12749.0748,907.0765191,26.80441409,691.6388444,-11756.75324,15180.50113,2.396010492,,
CC,13,4,17.2032,67.42698613,3.919444413,11.75843066,7.122405201,4.636025459,35.49587502,0.456275942,2.762755335,7.283446558,0.098586084,0.134394618,0.36378078,419.8584175,5062.208753,-4563.834835,5.512998639,2739.141427,-2382.351816,268.3158328,5.876779419,210.4354055,-2975.446507,2957.842238,2.396010492,,
CC,13,8,17.2032,49.89250621,2.900187535,11.65526621,7.13852682,4.516739391,32.43135166,0.448435866,1.99223836,4.552340182,0.086422544,0.11422976,0.075247718,124.1072297,1052.21158,-860.7928071,1.269768545,537.743024,-539.2878607,81.21427344,1.345016263,60.48235242,-519.7083017,747.8927068,2.396010492,,
CC,13,16,17.2032,39.79417736,2.313184603,11.38652448,7.143236535,4.243287949,29.85532072,0.443119396,1.538004501,3.042147738,0.069016331,0.080856213,0.246143193,40.21467378,226.3794214,-216.6861295,-0.45390408,124.6107748,-123.8587497,28.29519233,-0.207760886,18.12404974,-144.4024051,135.9765458,2.396010492,,
CC,13,32,17.2032,33.52506258,1.948768984,11.25722812,7.168233438,4.08899468,30.13105568,0.480755097,1.310245066,2.033641308,0.076298134,0.076960379,0.009474525,12.44706773,46.75781624,-38.49144388,-0.295918903,33.31957989,-34.87023673,9.085877699,-0.286444378,5.382464546,-21.63611675,25.25781924,2.396010492,,
CC,15,1,14.336,101.5775288,7.085486107,10.87989712,7.17813015,3.701766968,53.13244428,0.43624129,5.641634799,12.43146797,0.138928619,0.165656919,-0.215404427,2715.355299,49969.37752,-50622.77794,41.81457294,35737.06239,-30902.50314,1754.306109,41.62697874,1387.154231,-38740.89374,41602.34258,2.395910851,,
CC,15,2,14.336,76.35744044,5.326272352,10.84489775,7.178601861,3.666295886,52.65422423,0.426447348,4.126277823,7.410170235,0.150423178,0.157778285,-0.526392341,885.857506,14785.54398,-11366.31906,7.109854282,5976.035937,-8263.959538,567.8861174,6.620821929,442.4232061,-7111.741153,7616.453535,2.395910851,,
CC,15,4,14.336,56.5510459,3.944687912,10.80201095,7.180242032,3.621768922,51.33786682,0.407325203,2.999655225,4.339351101,0.155582911,0.140180494,-0.222344209,275.1774656,2814.09394,-2499.777004,-1.317953556,2089.092951,-1630.992643,175.3392552,-1.543346739,138.0763797,-1831.34897,1503.42822,2.395910851,,
